country,iso3,region_residuos
Afganistán,AFG,Fuera de España
Albania,ALB,Fuera de España
Alemania,DEU,Fuera de España
Andorra,AND,Fuera de España
Angola,AGO,Fuera de España
Anguila,AIA,Fuera de España
Antigua y Barbuda,ATG,Fuera de España
Antillas Neerlandesas,ANT,Fuera de España
Antártida,ATA,Fuera de España
Arabia Saudita,SAU,Fuera de España
Argelia,DZA,Fuera de España
Argentina,ARG,Fuera de España
Armenia,ARM,Fuera de España
Aruba,ABW,Fuera de España
Australia,AUS,Fuera de España
Austria,AUT,Fuera de España
Azerbaiyán,AZE,Fuera de España
Bahamas,BHS,Fuera de España
Bangladés,BGD,Fuera de España
Barbados,BRB,Fuera de España
Baréin,BHR,Fuera de España
Belice,BLZ,Fuera de España
Benín,BEN,Fuera de España
Bermudas,BMU,Fuera de España
Bielorrusia,BLR,Fuera de España
Bolivia,BOL,Fuera de España
Bonaire,BES,Fuera de España
Bosnia y Herzegovina,BIH,Fuera de España
Botsuana,BWA,Fuera de España
Brasil,BRA,Fuera de España
Brunéi,BRN,Fuera de España
Bulgaria,BGR,Fuera de España
Burkina Faso,BFA,Fuera de España
Burundi,BDI,Fuera de España
Bután,BTN,Fuera de España
Bélgica,BEL,Fuera de España
Cabo Verde,CPV,Fuera de España
Camboya,KHM,Fuera de España
Camerún,CMR,Fuera de España
Canadá,CAN,Fuera de España
Catar,QAT,Fuera de España
Chad,TCD,Fuera de España
Chequia,CZE,Fuera de España
Chile,CHL,Fuera de España
China,CHN,Fuera de España
Chipre,CYP,Fuera de España
Colombia,COL,Fuera de España
Comoras,COM,Fuera de España
Congo,COG,Fuera de España
Corea del Norte,PRK,Fuera de España
Corea del Sur,KOR,Fuera de España
Costa de Marfil,CIV,Fuera de España
Costa Rica,CRI,Fuera de España
Croacia,HRV,Fuera de España
Cuba,CUB,Fuera de España
Curazao,CUW,Fuera de España
Dinamarca,DNK,Fuera de España
Dominica,DMA,Fuera de España
Ecuador,ECU,Fuera de España
Egipto,EGY,Fuera de España
El Salvador,SLV,Fuera de España
Emiratos Árabes Unidos,ARE,Fuera de España
Eritrea,ERI,Fuera de España
Eslovaquia,SVK,Fuera de España
Eslovenia,SVN,Fuera de España
España,ESP,España
Estados Unidos,USA,Fuera de España
