factor_id,geography,iso3,subcategory,activity,variant,technology_fuel_material,destination_origin_supplier,input_unit,activity_year,activity_year_scope,factor_year,factor_value,factor_unit,temporal_type,factor_version,source,source_detail,source_url,is_temporal_fallback,is_geographic_proxy,quality_status,notes,source_workbook,source_sheet
ENE_A8B067CF0B2598,ESPAÑA,,COMBUSTIÓN ESTACIONARIA,Gas natural,,,,kWhPCS,2022,,2022,0.182,kgCO2e/kWhPCS,ANNUAL,,MITECO,"MITECO - ""2. Instalaciones Fijas""",,0,0,ALCANCE 1,fallback_reason=None; proxy_geography=None,Energia_Base_Maestra_y_Contrato_FINAL.xlsx,Factores
ENE_C26AB83349F09E,ESPAÑA,,COMBUSTIÓN ESTACIONARIA,Gas natural,,,,kWhPCS,2023,,2023,0.182,kgCO2e/kWhPCS,ANNUAL,,MITECO,"MITECO - ""2. Instalaciones Fijas""",,0,0,ALCANCE 1,fallback_reason=None; proxy_geography=None,Energia_Base_Maestra_y_Contrato_FINAL.xlsx,Factores
ENE_1FC815E53F9F0E,ESPAÑA,,COMBUSTIÓN ESTACIONARIA,Gas natural,,,,kWhPCS,2024,,2024,0.182,kgCO2e/kWhPCS,ANNUAL,,MITECO,"MITECO - ""2. Instalaciones Fijas""",,0,0,ALCANCE 1,fallback_reason=None; proxy_geography=None,Energia_Base_Maestra_y_Contrato_FINAL.xlsx,Factores
ENE_E14FCA106C5F0C,ESPAÑA,,COMBUSTIÓN ESTACIONARIA,Gas natural,,,,kWhPCS,2025,,2025,0.182,kgCO2e/kWhPCS,ANNUAL,,MITECO,"MITECO - ""2. Instalaciones Fijas""",,0,0,ALCANCE 1,fallback_reason=None; proxy_geography=None,Energia_Base_Maestra_y_Contrato_FINAL.xlsx,Factores
ENE_B221703844E333,ESPAÑA,,COMBUSTIÓN ESTACIONARIA,Gas natural,,,,kWhPCS,2026,,2025,0.182,kgCO2e/kWhPCS,ANNUAL,,MITECO,"MITECO - ""2. Instalaciones Fijas""",,1,0,ALCANCE 1,fallback_reason=Último factor anterior disponible en la base MITECO/DEFRA aportada; proxy_geography=None,Energia_Base_Maestra_y_Contrato_FINAL.xlsx,Factores
ENE_C8DF4A5C11CFAC,ESPAÑA,,COMBUSTIÓN ESTACIONARIA,Gas natural,,,,m3,2022,,2022,2.01574,kgCO2e/m3,ANNUAL,,DEFRA,"DEFRA - ""Fuels - Gaseous Fuels - Natural gas""",,0,0,ALCANCE 1,fallback_reason=None; proxy_geography=None,Energia_Base_Maestra_y_Contrato_FINAL.xlsx,Factores
ENE_393C35B1BB5685,ESPAÑA,,COMBUSTIÓN ESTACIONARIA,Gas natural,,,,m3,2023,,2023,2.03839031006711,kgCO2e/m3,ANNUAL,,DEFRA,"DEFRA - ""Fuels - Gaseous Fuels - Natural gas""",,0,0,ALCANCE 1,fallback_reason=None; proxy_geography=None,Energia_Base_Maestra_y_Contrato_FINAL.xlsx,Factores
ENE_30114A85EF9876,ESPAÑA,,COMBUSTIÓN ESTACIONARIA,Gas natural,,,,m3,2024,,2024,2.04542,kgCO2e/m3,ANNUAL,,DEFRA,"DEFRA - ""Fuels - Gaseous Fuels - Natural gas""",,0,0,ALCANCE 1,fallback_reason=None; proxy_geography=None,Energia_Base_Maestra_y_Contrato_FINAL.xlsx,Factores
ENE_DA3346DDD7ABA3,ESPAÑA,,COMBUSTIÓN ESTACIONARIA,Gas natural,,,,m3,2025,,2025,2.06672,kgCO2e/m3,ANNUAL,,DEFRA,"DEFRA - ""Fuels - Gaseous Fuels - Natural gas""",,0,0,ALCANCE 1,fallback_reason=None; proxy_geography=None,Energia_Base_Maestra_y_Contrato_FINAL.xlsx,Factores
ENE_ECD0B8D4F67F5B,ESPAÑA,,COMBUSTIÓN ESTACIONARIA,Gas natural,,,,m3,2026,,2025,2.06672,kgCO2e/m3,ANNUAL,,DEFRA,"DEFRA - ""Fuels - Gaseous Fuels - Natural gas""",,1,0,ALCANCE 1,fallback_reason=Último factor anterior disponible en la base MITECO/DEFRA aportada; proxy_geography=None,Energia_Base_Maestra_y_Contrato_FINAL.xlsx,Factores
ENE_10333392F11BB8,ESPAÑA,,COMBUSTIÓN ESTACIONARIA,Gasóleo B,,,,litros,2022,,2022,2.737,kgCO2e/litros,ANNUAL,,MITECO,"MITECO - ""2. Instalaciones Fijas""",,0,0,ALCANCE 1,fallback_reason=None; proxy_geography=None,Energia_Base_Maestra_y_Contrato_FINAL.xlsx,Factores
ENE_625B87F0F43D2E,ESPAÑA,,COMBUSTIÓN ESTACIONARIA,Gasóleo B,,,,litros,2023,,2023,2.737,kgCO2e/litros,ANNUAL,,MITECO,"MITECO - ""2. Instalaciones Fijas""",,0,0,ALCANCE 1,fallback_reason=None; proxy_geography=None,Energia_Base_Maestra_y_Contrato_FINAL.xlsx,Factores
