category,factor_id,geography,iso3,subcategory,activity,variant,technology_fuel_material,destination_origin_supplier,input_unit,activity_year,activity_year_scope,factor_year,factor_value,factor_unit,temporal_type,factor_version,source,source_detail,source_url,is_temporal_fallback,is_geographic_proxy,quality_status,notes,source_workbook,source_sheet
Materiales y productos,MAT_2843D41C7158DA,TODOS,,Cartón,Cartón,,,Producción de materia prima,kg,2022,,2022,0.8015217654981051,kgCO2e/kg,ANNUAL,,CATEGORÍA MATERIALES Y PRODUCTOS_CARTÓN_REGISTRO PARA CÁLCULO_TABLAS_FACTORES DE EMISIÓN.xlsx,CARTÓN_FE · FE explícito,,FALSE,FALSE,,,Materiales_Base_Maestra_y_Contrato_V2_CORREGIDA.xlsx,Factores
Materiales y productos,MAT_B0EE7278940C30,TODOS,,Cartón,Cartón,,,Producción de materia prima,kg,2023,,2023,1.19396586,kgCO2e/kg,ANNUAL,,CATEGORÍA MATERIALES Y PRODUCTOS_CARTÓN_REGISTRO PARA CÁLCULO_TABLAS_FACTORES DE EMISIÓN.xlsx,CARTÓN_FE · FE explícito,,FALSE,FALSE,,,Materiales_Base_Maestra_y_Contrato_V2_CORREGIDA.xlsx,Factores
Materiales y productos,MAT_40AAC20812E14D,TODOS,,Cartón,Cartón,,,Producción de materia prima,kg,2024,,2024,1.19972542,kgCO2e/kg,ANNUAL,,CATEGORÍA MATERIALES Y PRODUCTOS_CARTÓN_REGISTRO PARA CÁLCULO_TABLAS_FACTORES DE EMISIÓN.xlsx,CARTÓN_FE · FE explícito,,FALSE,FALSE,,,Materiales_Base_Maestra_y_Contrato_V2_CORREGIDA.xlsx,Factores
Materiales y productos,MAT_CC5B704E9E2A6B,TODOS,,Cartón,Cartón,,,Producción de materia prima,kg,2025,,2025,1.19823866,kgCO2e/kg,ANNUAL,,CATEGORÍA MATERIALES Y PRODUCTOS_CARTÓN_REGISTRO PARA CÁLCULO_TABLAS_FACTORES DE EMISIÓN.xlsx,CARTÓN_FE · FE explícito,,FALSE,FALSE,,,Materiales_Base_Maestra_y_Contrato_V2_CORREGIDA.xlsx,Factores
Materiales y productos,MAT_7019F46D14B61A,TODOS,,Cartón,Cartón,,,Producción de materia prima,kg,2026,,2026,1.19823866,kgCO2e/kg,ANNUAL,DEFRA 2026,CATEGORÍA MATERIALES Y PRODUCTOS_CARTÓN_REGISTRO PARA CÁLCULO_TABLAS_FACTORES DE EMISIÓN.xlsx,CARTÓN_FE · FE explícito,,FALSE,FALSE,,DEFRA 2026 exacto; se corrige la cabecera temporal de la referencia.,Materiales_Base_Maestra_y_Contrato_V2_CORREGIDA.xlsx,Factores
Materiales y productos,MAT_683595F9DC9B94,TODOS,,Cartón,Cartón,,,Reciclado (Circuito cerrado),kg,2022,,2022,0.699881836018945,kgCO2e/kg,ANNUAL,,CATEGORÍA MATERIALES Y PRODUCTOS_CARTÓN_REGISTRO PARA CÁLCULO_TABLAS_FACTORES DE EMISIÓN.xlsx,CARTÓN_FE · FE explícito,,FALSE,FALSE,,,Materiales_Base_Maestra_y_Contrato_V2_CORREGIDA.xlsx,Factores
Materiales y productos,MAT_B7C7B4D21E1F60,TODOS,,Cartón,Cartón,,,Reciclado (Circuito cerrado),kg,2023,,2023,1.09235486,kgCO2e/kg,ANNUAL,,CATEGORÍA MATERIALES Y PRODUCTOS_CARTÓN_REGISTRO PARA CÁLCULO_TABLAS_FACTORES DE EMISIÓN.xlsx,CARTÓN_FE · FE explícito,,FALSE,FALSE,,,Materiales_Base_Maestra_y_Contrato_V2_CORREGIDA.xlsx,Factores
Materiales y productos,MAT_DC25FE9B61D1FE,TODOS,,Cartón,Cartón,,,Reciclado (Circuito cerrado),kg,2024,,2024,1.09811442,kgCO2e/kg,ANNUAL,,CATEGORÍA MATERIALES Y PRODUCTOS_CARTÓN_REGISTRO PARA CÁLCULO_TABLAS_FACTORES DE EMISIÓN.xlsx,CARTÓN_FE · FE explícito,,FALSE,FALSE,,,Materiales_Base_Maestra_y_Contrato_V2_CORREGIDA.xlsx,Factores
Materiales y productos,MAT_65BE80D3CB51A4,TODOS,,Cartón,Cartón,,,Reciclado (Circuito cerrado),kg,2025,,2025,1.09662766,kgCO2e/kg,ANNUAL,,CATEGORÍA MATERIALES Y PRODUCTOS_CARTÓN_REGISTRO PARA CÁLCULO_TABLAS_FACTORES DE EMISIÓN.xlsx,CARTÓN_FE · FE explícito,,FALSE,FALSE,,,Materiales_Base_Maestra_y_Contrato_V2_CORREGIDA.xlsx,Factores
Materiales y productos,MAT_190D097F709CA7,TODOS,,Cartón,Cartón,,,Reciclado (Circuito cerrado),kg,2026,,2026,1.09662766,kgCO2e/kg,ANNUAL,DEFRA 2026,CATEGORÍA MATERIALES Y PRODUCTOS_CARTÓN_REGISTRO PARA CÁLCULO_TABLAS_FACTORES DE EMISIÓN.xlsx,CARTÓN_FE · FE explícito,,FALSE,FALSE,,DEFRA 2026 exacto; se corrige la cabecera temporal de la referencia.,Materiales_Base_Maestra_y_Contrato_V2_CORREGIDA.xlsx,Factores
