familia,grosor,grosor_m,largo_m,ancho_m,densidad_kg_m3,source_row
Táblex,"3,2 mm",0.0032,2.44,1.22,944.80650362806,2
Táblex,"Desconocido / manual",,2.44,1.22,944.80650362806,3
"DM o MDF","2.5 mm",0.0025,2.44,1.22,800,4
"DM o MDF","3 mm",0.003,2.44,1.22,783.83946967661,5
"DM o MDF","4 mm",0.004,2.44,1.22,780,6
"DM o MDF","5 mm",0.005,2.44,1.22,806.23488309594,7
"DM o MDF","6 mm",0.006,2.44,1.22,780,8
"DM o MDF","7 mm",0.007,2.44,1.22,767.84274580566,9
"DM o MDF","8 mm",0.008,2.44,1.22,770,10
"DM o MDF","9 mm",0.009,2.44,1.22,770,11
"DM o MDF","10 mm",0.01,2.44,1.22,772.64176296694,12
"DM o MDF","11 mm",0.011,2.44,1.22,760,13
"DM o MDF","12 mm",0.012,2.44,1.22,760,14
"DM o MDF","13 mm",0.013,2.44,1.22,760,15
"DM o MDF","14 mm",0.014,2.44,1.22,760,16
"DM o MDF","15 mm",0.015,2.44,1.22,760,17
"DM o MDF","16 mm",0.016,2.44,1.22,755.84520290245,18
"DM o MDF","18 mm",0.018,2.44,1.22,755,19
"DM o MDF","19 mm",0.019,2.44,1.22,760.26535028784,20
"DM o MDF","22 mm",0.022,2.44,1.22,750,21
"DM o MDF","23 mm",0.023,2.44,1.22,750,22
"DM o MDF","24 mm",0.024,2.44,1.22,750,23
"DM o MDF","25 mm",0.025,2.44,1.22,750,24
"DM o MDF","28 mm",0.028,2.44,1.22,740,25
"DM o MDF","29 mm",0.029,2.44,1.22,740,26
"DM o MDF","30 mm",0.03,2.44,1.22,739.04864283795,27
"DM o MDF","31 mm",0.031,2.44,1.22,740,28
"DM o MDF","32 mm",0.032,2.44,1.22,740,29
"DM o MDF","35 mm",0.035,2.44,1.22,730,30
"DM o MDF","36 mm",0.036,2.44,1.22,730,31
"DM o MDF","37 mm",0.037,2.44,1.22,730,32
"DM o MDF","38 mm",0.038,2.44,1.22,730,33
"DM o MDF","39 mm",0.039,2.44,1.22,720,34
"DM o MDF","40 mm",0.04,2.44,1.22,720,35
"DM o MDF","Desconocido / manual",,2.44,1.22,755.0224393,36
Aglomerada,"8 mm",0.008,2.44,1.22,690,37
Aglomerada,"9 mm",0.009,2.44,1.22,680,38
Aglomerada,"10 mm",0.01,2.44,1.22,671.86240257995,39
Aglomerada,"11 mm",0.011,2.44,1.22,670,40
Aglomerada,"12 mm",0.012,2.44,1.22,660,41
Aglomerada,"13 mm",0.013,2.44,1.22,650,42
Aglomerada,"15 mm",0.015,2.44,1.22,645,43
Aglomerada,"16 mm",0.016,2.44,1.22,629.8710024187,44
Aglomerada,"17 mm",0.017,2.44,1.22,635,45
Aglomerada,"18 mm",0.018,2.44,1.22,630,46
Aglomerada,"19 mm",0.019,2.44,1.22,618.82063395522,47
Aglomerada,"22 mm",0.022,2.44,1.22,600,48
Aglomerada,"23 mm",0.023,2.44,1.22,590,49
Aglomerada,"24 mm",0.024,2.44,1.22,590,50
Aglomerada,"25 mm",0.025,2.44,1.22,580,51
Aglomerada,"30 mm",0.03,2.44,1.22,559.88533548329,52
Aglomerada,"31 mm",0.031,2.44,1.22,565,53
Aglomerada,"32 mm",0.032,2.44,1.22,565,54
Aglomerada,"33 mm",0.033,2.44,1.22,560,55
Aglomerada,"34 mm",0.034,2.44,1.22,560,56
Aglomerada,"35 mm",0.035,2.44,1.22,555,57
Aglomerada,"36 mm",0.036,2.44,1.22,550,58
Aglomerada,"37 mm",0.037,2.44,1.22,545,59
Aglomerada,"38 mm",0.038,2.44,1.22,545,60
Aglomerada,"39 mm",0.039,2.44,1.22,540,61
Aglomerada,"40 mm",0.04,2.44,1.22,535,62
Aglomerada,"41 mm",0.041,2.44,1.22,535,63
Aglomerada,"42 mm",0.042,2.44,1.22,530,64
Aglomerada,"43 mm",0.043,2.44,1.22,525,65
Aglomerada,"44 mm",0.044,2.44,1.22,525,66
Aglomerada,"45 mm",0.045,2.44,1.22,520,67
Aglomerada,"Desconocido / manual",,2.44,1.22,588.8851411,68
"Contrachapada o Laminada (Plywood)","3 mm",0.003,2.44,1.22,447.90826838663,69
"Contrachapada o Laminada (Plywood)","5 mm",0.005,2.44,1.22,470.30368180597,70
"Contrachapada o Laminada (Plywood)","7 mm",0.007,2.44,1.22,479.90171612854,71
"Contrachapada o Laminada (Plywood)","10 mm",0.01,2.44,1.22,470.30368180597,72
"Contrachapada o Laminada (Plywood)","15 mm",0.015,2.44,1.22,403.11744154797,73
"Contrachapada o Laminada (Plywood)","18 mm",0.018,2.44,1.22,466.57111290274,74
"Contrachapada o Laminada (Plywood)","30 mm",0.03,2.44,1.22,447.90826838663,75
"Contrachapada o Laminada (Plywood)","Desconocido / manual",,2.44,1.22,455.14285714286,76
OSB,"9 mm",0.009,2.44,1.22,640,77
OSB,"12 mm",0.012,2.44,1.22,640,78
OSB,"15 mm",0.015,2.44,1.22,640,79
OSB,"18 mm",0.018,2.44,1.22,640,80
OSB,"22 mm",0.022,2.44,1.22,640,81
OSB,"Desconocido / manual",,2.44,1.22,640,82
