tipo,densidad_kg_m3,source_row
"Madera maciza de pino radiata o insignis",500,2
"Madera maciza de pino silvestre",510,3
"Madera maciza de pino pinaster",520,4
"Madera maciza de pino promedio",510,5
"Madera maciza de roble europeo",770,6
"Madera maciza de roble rojo americano",710,7
"Madera maciza de roble blanco americano",740,8
"Madera maciza de roble promedio",740,9
"Madera de Ayous/Samba",380,10
"Madera maciza de nogal europeo",650,11
"Madera maciza de nogal negro americano",610,12
"Madera maciza de nogal promedio",630,13
"Madera maciza de haya euopea",730,14
"Madera maciza de chopo/álamo",459,15
"Madera maciza de cerezo europeo",620,16
"Madera maciza de cerezo americano",560,17
"Madera maciza de cerezo",590,18
"Madera maciza de abeto",450,19
"Madera maciza de cedro rojo del Pacífico",340,20
"Madera maciza de cedro americano",490,21
"Tablón macizo de cedro promedio",415,22
"Tablón macizo de fresno americano",640,23
"Tablón macizo de fresno europeo",690,24
"Tablón macizo de fresno promedio",650,25
"Tablón macizo de arce europeo",630,26
"Madera maciza de abedul",650,27
"Madera maciza de teca",690,28
"Madera maciza de aliso rojo",450,29
"Madera maciza de caoba",570,30
"Madera maciza de castaño",590,31
"Madera maciza de sapelli",680,32
"Madera maciza de eucalipto blanco",785,33
"Madera maciza de madera de Okume",460,34
"Desconocida / promedio",588.1515152,35
