factor_id,area,category,subcategory,activity,fuel,unit,method,activity_year,factor_year,factor_value,temporal_type,factor_version,source,source_detail,source_url,is_temporal_fallback,is_geographic_proxy,quality_status,notes,source_workbook,source_sheet
TRA_D35D89F312B4D5,ESPAÑA,Transporte,PRIVADO,Ciclomotores (50cc),Gasolina,litros,combustible,2022,2022,2.308,ANNUAL,,MITECO,"MITECO - ""3. Vehículos y maquinaria"" ""A. Transporte por carretera"" ""Opción A1. Cantidad de combustible o aditivo consumido"" ""E5 (l)"" ""Ciclomotores (L1e, L2e)""",,0,0,,,Transporte_Base_Maestra_y_Contrato_V2_CORREGIDA.xlsx,Factores
TRA_C8972210F93B2D,ESPAÑA,Transporte,PRIVADO,Ciclomotores (50cc),Gasolina,litros,combustible,2023,2023,2.308,ANNUAL,,MITECO,"MITECO - ""3. Vehículos y maquinaria"" ""A. Transporte por carretera"" ""Opción A1. Cantidad de combustible o aditivo consumido"" ""E5 (l)"" ""Ciclomotores (L1e, L2e)""",,0,0,,,Transporte_Base_Maestra_y_Contrato_V2_CORREGIDA.xlsx,Factores
TRA_E60B627EBCA00F,ESPAÑA,Transporte,PRIVADO,Ciclomotores (50cc),Gasolina,litros,combustible,2024,2024,2.308,ANNUAL,,MITECO,"MITECO - ""3. Vehículos y maquinaria"" ""A. Transporte por carretera"" ""Opción A1. Cantidad de combustible o aditivo consumido"" ""E5 (l)"" ""Ciclomotores (L1e, L2e)""",,0,0,,,Transporte_Base_Maestra_y_Contrato_V2_CORREGIDA.xlsx,Factores
TRA_6374C685063590,ESPAÑA,Transporte,PRIVADO,Ciclomotores (50cc),Gasolina,litros,combustible,2025,2025,2.308,ANNUAL,,MITECO,"MITECO - ""3. Vehículos y maquinaria"" ""A. Transporte por carretera"" ""Opción A1. Cantidad de combustible o aditivo consumido"" ""E5 (l)"" ""Ciclomotores (L1e, L2e)""",,0,0,,,Transporte_Base_Maestra_y_Contrato_V2_CORREGIDA.xlsx,Factores
TRA_0CDF0A5EC566F0,ESPAÑA,Transporte,PRIVADO,Ciclomotores (50cc),Bioetanol 100% (E100),litros,combustible,2022,2022,0.078,ANNUAL,,MITECO,"MITECO - ""3. Vehículos y maquinaria"" ""A. Transporte por carretera"" ""Opción A1. Cantidad de combustible o aditivo consumido"" ""E100 (l)"" ""Ciclomotores (L1e, L2e)""",,0,0,,,Transporte_Base_Maestra_y_Contrato_V2_CORREGIDA.xlsx,Factores
TRA_A554AE8F194228,ESPAÑA,Transporte,PRIVADO,Ciclomotores (50cc),Bioetanol 100% (E100),litros,combustible,2023,2023,0.078,ANNUAL,,MITECO,"MITECO - ""3. Vehículos y maquinaria"" ""A. Transporte por carretera"" ""Opción A1. Cantidad de combustible o aditivo consumido"" ""E100 (l)"" ""Ciclomotores (L1e, L2e)""",,0,0,,,Transporte_Base_Maestra_y_Contrato_V2_CORREGIDA.xlsx,Factores
TRA_66EF77AF65BB40,ESPAÑA,Transporte,PRIVADO,Ciclomotores (50cc),Bioetanol 100% (E100),litros,combustible,2024,2024,0.078,ANNUAL,,MITECO,"MITECO - ""3. Vehículos y maquinaria"" ""A. Transporte por carretera"" ""Opción A1. Cantidad de combustible o aditivo consumido"" ""E100 (l)"" ""Ciclomotores (L1e, L2e)""",,0,0,,,Transporte_Base_Maestra_y_Contrato_V2_CORREGIDA.xlsx,Factores
TRA_0E37F430ACBE83,ESPAÑA,Transporte,PRIVADO,Ciclomotores (50cc),Bioetanol 100% (E100),litros,combustible,2025,2025,0.078,ANNUAL,,MITECO,"MITECO - ""3. Vehículos y maquinaria"" ""A. Transporte por carretera"" ""Opción A1. Cantidad de combustible o aditivo consumido"" ""E100 (l)"" ""Ciclomotores (L1e, L2e)""",,0,0,,,Transporte_Base_Maestra_y_Contrato_V2_CORREGIDA.xlsx,Factores
TRA_489D641532C8AF,ESPAÑA,Transporte,PRIVADO,Ciclomotores (50cc),XTL (Biodiésel HVO),litros,combustible,2022,2022,0.03558,ANNUAL,,DEFRA,"DEFRA - ""Bioenergy"" ""Biofuel"" ""Biodiesel HVO""",,0,0,,,Transporte_Base_Maestra_y_Contrato_V2_CORREGIDA.xlsx,Factores
TRA_292B6E9857DE57,ESPAÑA,Transporte,PRIVADO,Ciclomotores (50cc),XTL (Biodiésel HVO),litros,combustible,2023,2023,0.03558,ANNUAL,,DEFRA,"DEFRA - ""Bioenergy"" ""Biofuel"" ""Biodiesel HVO""",,0,0,,,Transporte_Base_Maestra_y_Contrato_V2_CORREGIDA.xlsx,Factores
TRA_F15F650FAB3878,ESPAÑA,Transporte,PRIVADO,Ciclomotores (50cc),XTL (Biodiésel HVO),litros,combustible,2024,2024,0.03558,ANNUAL,,DEFRA,"DEFRA - ""Bioenergy"" ""Biofuel"" ""Biodiesel HVO""",,0,0,,,Transporte_Base_Maestra_y_Contrato_V2_CORREGIDA.xlsx,Factores
TRA_A711B63B5EA7FA,ESPAÑA,Transporte,PRIVADO,Ciclomotores (50cc),XTL (Biodiésel HVO),litros,combustible,2025,2025,0.03558,ANNUAL,,DEFRA,"DEFRA - ""Bioenergy"" ""Biofuel"" ""Biodiesel HVO""",,0,0,,,Transporte_Base_Maestra_y_Contrato_V2_CORREGIDA.xlsx,Factores
TRA_3F8D0F2E98FE6F,ESPAÑA,Transporte,PRIVADO,Motocicletas (> 50cc),Gasolina 95 o 98,litros,combustible,2022,2022,2.339,ANNUAL,,MITECO,"MITECO - ""3. Vehículos y maquinaria"" ""A. Transporte por carretera"" ""Opción A1. Cantidad de combustible o aditivo consumido"" ""E5 (l)"" ""Motocicletas (L3e, L4e, L5, L6, L7 )""",,0,0,,,Transporte_Base_Maestra_y_Contrato_V2_CORREGIDA.xlsx,Factores
TRA_12BFD80030BC11,ESPAÑA,Transporte,PRIVADO,Motocicletas (> 50cc),Gasolina 95 o 98,litros,combustible,2023,2023,2.337,ANNUAL,,MITECO,"MITECO - ""3. Vehículos y maquinaria"" ""A. Transporte por carretera"" ""Opción A1. Cantidad de combustible o aditivo consumido"" ""E5 (l)"" ""Motocicletas (L3e, L4e, L5, L6, L7 )""",,0,0,,,Transporte_Base_Maestra_y_Contrato_V2_CORREGIDA.xlsx,Factores
TRA_B057091826472F,ESPAÑA,Transporte,PRIVADO,Motocicletas (> 50cc),Gasolina 95 o 98,litros,combustible,2024,2024,2.334,ANNUAL,,MITECO,"MITECO - ""3. Vehículos y maquinaria"" ""A. Transporte por carretera"" ""Opción A1. Cantidad de combustible o aditivo consumido"" ""E5 (l)"" ""Motocicletas (L3e, L4e, L5, L6, L7 )""",,0,0,,,Transporte_Base_Maestra_y_Contrato_V2_CORREGIDA.xlsx,Factores
TRA_5F598C4CD320DF,ESPAÑA,Transporte,PRIVADO,Motocicletas (> 50cc),Gasolina 95 o 98,litros,combustible,2025,2025,2.336,ANNUAL,,MITECO,"MITECO - ""3. Vehículos y maquinaria"" ""A. Transporte por carretera"" ""Opción A1. Cantidad de combustible o aditivo consumido"" ""E5 (l)"" ""Motocicletas (L3e, L4e, L5, L6, L7 )""",,0,0,,,Transporte_Base_Maestra_y_Contrato_V2_CORREGIDA.xlsx,Factores
TRA_DFC7EFD511991C,ESPAÑA,Transporte,PRIVADO,Motocicletas (> 50cc),Bioetanol 100%  (E100),litros,combustible,2022,2022,0.109,ANNUAL,,MITECO,"MITECO - ""3. Vehículos y maquinaria"" ""A. Transporte por carretera"" ""Opción A1. Cantidad de combustible o aditivo consumido"" ""E100 (l)"" ""Motocicletas (L3e, L4e, L5, L6, L7 )""",,0,0,,,Transporte_Base_Maestra_y_Contrato_V2_CORREGIDA.xlsx,Factores
TRA_6729517AEA64C9,ESPAÑA,Transporte,PRIVADO,Motocicletas (> 50cc),Bioetanol 100%  (E100),litros,combustible,2023,2023,0.107,ANNUAL,,MITECO,"MITECO - ""3. Vehículos y maquinaria"" ""A. Transporte por carretera"" ""Opción A1. Cantidad de combustible o aditivo consumido"" ""E100 (l)"" ""Motocicletas (L3e, L4e, L5, L6, L7 )""",,0,0,,,Transporte_Base_Maestra_y_Contrato_V2_CORREGIDA.xlsx,Factores
TRA_5A1A402D43E9B7,ESPAÑA,Transporte,PRIVADO,Motocicletas (> 50cc),Bioetanol 100%  (E100),litros,combustible,2024,2024,0.104,ANNUAL,,MITECO,"MITECO - ""3. Vehículos y maquinaria"" ""A. Transporte por carretera"" ""Opción A1. Cantidad de combustible o aditivo consumido"" ""E100 (l)"" ""Motocicletas (L3e, L4e, L5, L6, L7 )""",,0,0,,,Transporte_Base_Maestra_y_Contrato_V2_CORREGIDA.xlsx,Factores
TRA_6628AD0A53AADE,ESPAÑA,Transporte,PRIVADO,Motocicletas (> 50cc),Bioetanol 100%  (E100),litros,combustible,2025,2025,0.106,ANNUAL,,MITECO,"MITECO - ""3. Vehículos y maquinaria"" ""A. Transporte por carretera"" ""Opción A1. Cantidad de combustible o aditivo consumido"" ""E100 (l)"" ""Motocicletas (L3e, L4e, L5, L6, L7 )""",,0,0,,,Transporte_Base_Maestra_y_Contrato_V2_CORREGIDA.xlsx,Factores
TRA_B359DD449C1BAB,ESPAÑA,Transporte,PRIVADO,Motocicletas (> 50cc),XTL (Biodiésel HVO),litros,combustible,2022,2022,0.03558,ANNUAL,,DEFRA,"DEFRA - ""Bioenergy"" ""Biofuel"" ""Biodiesel HVO""",,0,0,,,Transporte_Base_Maestra_y_Contrato_V2_CORREGIDA.xlsx,Factores
TRA_D8049551DEC03A,ESPAÑA,Transporte,PRIVADO,Motocicletas (> 50cc),XTL (Biodiésel HVO),litros,combustible,2023,2023,0.03558,ANNUAL,,DEFRA,"DEFRA - ""Bioenergy"" ""Biofuel"" ""Biodiesel HVO""",,0,0,,,Transporte_Base_Maestra_y_Contrato_V2_CORREGIDA.xlsx,Factores
TRA_7DE2B57B16C1FF,ESPAÑA,Transporte,PRIVADO,Motocicletas (> 50cc),XTL (Biodiésel HVO),litros,combustible,2024,2024,0.03558,ANNUAL,,DEFRA,"DEFRA - ""Bioenergy"" ""Biofuel"" ""Biodiesel HVO""",,0,0,,,Transporte_Base_Maestra_y_Contrato_V2_CORREGIDA.xlsx,Factores
TRA_8A2D435FD3AF72,ESPAÑA,Transporte,PRIVADO,Motocicletas (> 50cc),XTL (Biodiésel HVO),litros,combustible,2025,2025,0.03558,ANNUAL,,DEFRA,"DEFRA - ""Bioenergy"" ""Biofuel"" ""Biodiesel HVO""",,0,0,,,Transporte_Base_Maestra_y_Contrato_V2_CORREGIDA.xlsx,Factores
TRA_2BC32C03F0A477,ESPAÑA,Transporte,PRIVADO,Turismos (hasta 8 asientos) / Taxis,Gasolina,litros,combustible,2022,2022,2.249,ANNUAL,,MITECO,"MITECO - ""3. Vehículos y maquinaria"" ""A. Transporte por carretera"" ""Opción A1. Cantidad de combustible o aditivo consumido"" ""E5 (l)"" ""Turismos (M1)""",,0,0,,,Transporte_Base_Maestra_y_Contrato_V2_CORREGIDA.xlsx,Factores
