category,factor_id,geography,iso3,subcategory,activity,variant,technology_fuel_material,destination_origin_supplier,input_unit,activity_year,activity_year_scope,factor_year,factor_value,factor_unit,temporal_type,factor_version,source,source_detail,source_url,is_temporal_fallback,is_geographic_proxy,quality_status,notes,source_workbook,source_sheet
Residuos,RES_581D4FAA49C5E6,España,,Residuo general (no recogida selectiva),Residuo general (no recogida selectiva),,,Gestión municipal (mezcla real),kg,2022,,,0.71647,kgCO2e/kg,VERSIONED,OCCC v2025,OCCC,source_row=8,,FALSE,FALSE,VALIDATED_FROM_REFERENCE,Factor versionado; no se presenta como FE anual,Residuos_Base_Maestra_y_Contrato_V2_CORREGIDA.xlsx,Factores
Residuos,RES_7A6356B699599E,España,,Residuo general (no recogida selectiva),Residuo general (no recogida selectiva),,,Gestión municipal (mezcla real),kg,2023,,,0.71647,kgCO2e/kg,VERSIONED,OCCC v2025,OCCC,source_row=8,,FALSE,FALSE,VALIDATED_FROM_REFERENCE,Factor versionado; no se presenta como FE anual,Residuos_Base_Maestra_y_Contrato_V2_CORREGIDA.xlsx,Factores
Residuos,RES_999AE0F4A0D9AE,España,,Residuo general (no recogida selectiva),Residuo general (no recogida selectiva),,,Gestión municipal (mezcla real),kg,2024,,,0.71647,kgCO2e/kg,VERSIONED,OCCC v2025,OCCC,source_row=8,,FALSE,FALSE,VALIDATED_FROM_REFERENCE,Factor versionado; no se presenta como FE anual,Residuos_Base_Maestra_y_Contrato_V2_CORREGIDA.xlsx,Factores
Residuos,RES_52C9C862023C4A,España,,Residuo general (no recogida selectiva),Residuo general (no recogida selectiva),,,Gestión municipal (mezcla real),kg,2025,,,0.71647,kgCO2e/kg,VERSIONED,OCCC v2025,OCCC,source_row=8,,FALSE,FALSE,VALIDATED_FROM_REFERENCE,Factor versionado; no se presenta como FE anual,Residuos_Base_Maestra_y_Contrato_V2_CORREGIDA.xlsx,Factores
Residuos,RES_4BDE7A6D25197B,España,,Residuo general (no recogida selectiva),Residuo general (no recogida selectiva),,,Gestión municipal (mezcla real),kg,2026,,,0.71647,kgCO2e/kg,VERSIONED,OCCC v2025,OCCC,source_row=8,,FALSE,FALSE,VALIDATED_FROM_REFERENCE,Factor versionado; no se presenta como FE anual,Residuos_Base_Maestra_y_Contrato_V2_CORREGIDA.xlsx,Factores
Residuos,RES_847712DB663A6F,España,,Orgánico (alimentación y bebidas),Orgánico (alimentación),,,Gestión municipal (FORM),kg,2022,,,0.36102,kgCO2e/kg,VERSIONED,OCCC v2025,OCCC,source_row=9,,FALSE,FALSE,VALIDATED_FROM_REFERENCE,Factor versionado; no se presenta como FE anual,Residuos_Base_Maestra_y_Contrato_V2_CORREGIDA.xlsx,Factores
Residuos,RES_94D025A00765C2,España,,Orgánico (alimentación y bebidas),Orgánico (alimentación),,,Gestión municipal (FORM),kg,2023,,,0.36102,kgCO2e/kg,VERSIONED,OCCC v2025,OCCC,source_row=9,,FALSE,FALSE,VALIDATED_FROM_REFERENCE,Factor versionado; no se presenta como FE anual,Residuos_Base_Maestra_y_Contrato_V2_CORREGIDA.xlsx,Factores
Residuos,RES_94484C84C94524,España,,Orgánico (alimentación y bebidas),Orgánico (alimentación),,,Gestión municipal (FORM),kg,2024,,,0.36102,kgCO2e/kg,VERSIONED,OCCC v2025,OCCC,source_row=9,,FALSE,FALSE,VALIDATED_FROM_REFERENCE,Factor versionado; no se presenta como FE anual,Residuos_Base_Maestra_y_Contrato_V2_CORREGIDA.xlsx,Factores
Residuos,RES_558F60AC37CAE5,España,,Orgánico (alimentación y bebidas),Orgánico (alimentación),,,Gestión municipal (FORM),kg,2025,,,0.36102,kgCO2e/kg,VERSIONED,OCCC v2025,OCCC,source_row=9,,FALSE,FALSE,VALIDATED_FROM_REFERENCE,Factor versionado; no se presenta como FE anual,Residuos_Base_Maestra_y_Contrato_V2_CORREGIDA.xlsx,Factores
Residuos,RES_E0564316244886,España,,Orgánico (alimentación y bebidas),Orgánico (alimentación),,,Gestión municipal (FORM),kg,2026,,,0.36102,kgCO2e/kg,VERSIONED,OCCC v2025,OCCC,source_row=9,,FALSE,FALSE,VALIDATED_FROM_REFERENCE,Factor versionado; no se presenta como FE anual,Residuos_Base_Maestra_y_Contrato_V2_CORREGIDA.xlsx,Factores
Residuos,RES_F95B584BE86B91,España,,Orgánico (residuos de jardín),Orgánico (residuos de jardín),,,Compostaje,kg,2022,,,0.24542,kgCO2e/kg,VERSIONED,OCCC v2025,OCCC,source_row=10,,FALSE,FALSE,VALIDATED_FROM_REFERENCE,Factor versionado; no se presenta como FE anual,Residuos_Base_Maestra_y_Contrato_V2_CORREGIDA.xlsx,Factores
Residuos,RES_D6E4EFB4D2152B,España,,Orgánico (residuos de jardín),Orgánico (residuos de jardín),,,Compostaje,kg,2023,,,0.24542,kgCO2e/kg,VERSIONED,OCCC v2025,OCCC,source_row=10,,FALSE,FALSE,VALIDATED_FROM_REFERENCE,Factor versionado; no se presenta como FE anual,Residuos_Base_Maestra_y_Contrato_V2_CORREGIDA.xlsx,Factores
Residuos,RES_33A685F219D91B,España,,Orgánico (residuos de jardín),Orgánico (residuos de jardín),,,Compostaje,kg,2024,,,0.24542,kgCO2e/kg,VERSIONED,OCCC v2025,OCCC,source_row=10,,FALSE,FALSE,VALIDATED_FROM_REFERENCE,Factor versionado; no se presenta como FE anual,Residuos_Base_Maestra_y_Contrato_V2_CORREGIDA.xlsx,Factores
Residuos,RES_B0BA0436E15B9A,España,,Orgánico (residuos de jardín),Orgánico (residuos de jardín),,,Compostaje,kg,2025,,,0.24542,kgCO2e/kg,VERSIONED,OCCC v2025,OCCC,source_row=10,,FALSE,FALSE,VALIDATED_FROM_REFERENCE,Factor versionado; no se presenta como FE anual,Residuos_Base_Maestra_y_Contrato_V2_CORREGIDA.xlsx,Factores
Residuos,RES_D4DC51EA2BB607,España,,Orgánico (residuos de jardín),Orgánico (residuos de jardín),,,Compostaje,kg,2026,,,0.24542,kgCO2e/kg,VERSIONED,OCCC v2025,OCCC,source_row=10,,FALSE,FALSE,VALIDATED_FROM_REFERENCE,Factor versionado; no se presenta como FE anual,Residuos_Base_Maestra_y_Contrato_V2_CORREGIDA.xlsx,Factores
Residuos,RES_763D094C482CA4,España,,Orgánico (residuos de jardín),Orgánico (residuos de jardín),,,Digestión anaeróbica (recuperación de energía),kg,2022,,,0.11507,kgCO2e/kg,VERSIONED,OCCC v2025,OCCC,source_row=11,,FALSE,FALSE,VALIDATED_FROM_REFERENCE,Factor versionado; no se presenta como FE anual,Residuos_Base_Maestra_y_Contrato_V2_CORREGIDA.xlsx,Factores
Residuos,RES_BE3E51DC1097F6,España,,Orgánico (residuos de jardín),Orgánico (residuos de jardín),,,Digestión anaeróbica (recuperación de energía),kg,2023,,,0.11507,kgCO2e/kg,VERSIONED,OCCC v2025,OCCC,source_row=11,,FALSE,FALSE,VALIDATED_FROM_REFERENCE,Factor versionado; no se presenta como FE anual,Residuos_Base_Maestra_y_Contrato_V2_CORREGIDA.xlsx,Factores
Residuos,RES_2362D0FACB7EAF,España,,Orgánico (residuos de jardín),Orgánico (residuos de jardín),,,Digestión anaeróbica (recuperación de energía),kg,2024,,,0.11507,kgCO2e/kg,VERSIONED,OCCC v2025,OCCC,source_row=11,,FALSE,FALSE,VALIDATED_FROM_REFERENCE,Factor versionado; no se presenta como FE anual,Residuos_Base_Maestra_y_Contrato_V2_CORREGIDA.xlsx,Factores
