region_scope,region_label,waste_type,waste_activity,treatment,rule_type,value,detail,source_row
spain,España,Construcción / Set promedio,Construcción / Set promedio,Reutilización / Donación,NON_WASTE_ROUTE_ZERO,0,Regla metodológica; no FE anual,22
spain,España,Textil,Textil,Reutilización / Donación,NON_WASTE_ROUTE_ZERO,0,Regla metodológica; no FE anual,27
spain,España,Aparatos eléctricos y electrónicos (RAEE),Aparatos eléctricos y electrónicos (RAEE),Reutilización / Donación,NON_WASTE_ROUTE_ZERO,0,Regla metodológica; no FE anual,32
spain,España,Pilas y baterías,Pilas y baterías,Reutilización / Donación,NON_WASTE_ROUTE_ZERO,0,Regla metodológica; no FE anual,36
spain,España,Pilas y baterías,Pilas y baterías usadas,Reutilización / Donación,NON_WASTE_ROUTE_ZERO,0,Regla metodológica; no FE anual,162
spain,España,"Residuos metálicos, no férreos",Cables,Reutilización / Donación,NON_WASTE_ROUTE_ZERO,0,Regla metodológica; no FE anual,166
spain,España,Aparatos eléctricos y electrónicos (RAEE),Dispositivos electrónicos,Reutilización / Donación,NON_WASTE_ROUTE_ZERO,0,Regla metodológica; no FE anual,171
spain,España,Residuos plásticos,Vinilos,Reutilización / Donación,NON_WASTE_ROUTE_ZERO,0,Regla metodológica; no FE anual,176
spain,España,Textil,Moquetas,Reutilización / Donación,NON_WASTE_ROUTE_ZERO,0,Regla metodológica; no FE anual,181
spain,España,Residuos plásticos,Lonas o lonetas,Reutilización / Donación,NON_WASTE_ROUTE_ZERO,0,Regla metodológica; no FE anual,186
spain,España,Textil,Telas y tejidos,Reutilización / Donación,NON_WASTE_ROUTE_ZERO,0,Regla metodológica; no FE anual,191
spain,España,Materiales mezclados y no diferenciados,Cuadros,Reutilización / Donación,NON_WASTE_ROUTE_ZERO,0,Regla metodológica; no FE anual,206
spain,España,Aparatos eléctricos y electrónicos (RAEE),Bombillas y fluorescentes,Reutilización / Donación,NON_WASTE_ROUTE_ZERO,0,Regla metodológica; no FE anual,219
spain,España,Aparatos eléctricos y electrónicos (RAEE),Discos duros,Reutilización / Donación,NON_WASTE_ROUTE_ZERO,0,Regla metodológica; no FE anual,248
spain,España,Residuos plásticos,Cintas LTO,Reutilización / Donación,NON_WASTE_ROUTE_ZERO,0,Regla metodológica; no FE anual,266
outside_spain,Fuera de España,Orgánico (alimentación y bebidas),Orgánico (alimentación),Donación,NON_WASTE_ROUTE_ZERO,0,Regla metodológica; no FE anual,297
outside_spain,Fuera de España,Plástico (envases),Plástico (envases),Reutilización / Donación,NON_WASTE_ROUTE_ZERO,0,Regla metodológica; no FE anual,307
outside_spain,Fuera de España,Metal (envases),Metal (envases),Reutilización / Donación,NON_WASTE_ROUTE_ZERO,0,Regla metodológica; no FE anual,312
outside_spain,Fuera de España,Vidrio,Vidrio,Reutilización / Donación,NON_WASTE_ROUTE_ZERO,0,Regla metodológica; no FE anual,322
outside_spain,Fuera de España,Madera,Madera,Reutilización / Donación,NON_WASTE_ROUTE_ZERO,0,Regla metodológica; no FE anual,331
outside_spain,Fuera de España,Construcción / Set promedio,Construcción / Set promedio,Reutilización / Donación,NON_WASTE_ROUTE_ZERO,0,Regla metodológica; no FE anual,335
outside_spain,Fuera de España,Metal (estructuras),Metal (estructuras),Reutilización / Donación,NON_WASTE_ROUTE_ZERO,0,Regla metodológica; no FE anual,339
outside_spain,Fuera de España,Textil,Textil,Reutilización / Donación,NON_WASTE_ROUTE_ZERO,0,Regla metodológica; no FE anual,344
outside_spain,Fuera de España,Aparatos eléctricos y electrónicos (RAEE),Aparatos eléctricos y electrónicos (RAEE),Reutilización / Donación,NON_WASTE_ROUTE_ZERO,0,Regla metodológica; no FE anual,349
outside_spain,Fuera de España,Pilas y baterías,Pilas y baterías,Reutilización / Donación,NON_WASTE_ROUTE_ZERO,0,Regla metodológica; no FE anual,353
