factor_id,geography,factor_type,activity_year,factor_year,factor_value,unit,temporal_type,factor_version,source,source_detail,source_url,is_temporal_fallback,is_geographic_proxy,quality_status,notes,source_workbook,source_sheet
AGU_0AC1CDF92F4220,Reino Unido,water_supply,2022,2022,0.149,kgCO2e/m3,ANNUAL,2022,UK Government / DESNZ,,https://www.gov.uk/government/publications/greenhouse-gas-reporting-conversion-factors-2022,0,0,REAL_ANUAL,,Agua_Base_Maestra_y_Contrato_FINAL.xlsx,Factores
AGU_1257955E573527,Reino Unido,water_treatment,2022,2022,0.272,kgCO2e/m3,ANNUAL,2022,UK Government / DESNZ,,https://www.gov.uk/government/publications/greenhouse-gas-reporting-conversion-factors-2022,0,0,REAL_ANUAL,,Agua_Base_Maestra_y_Contrato_FINAL.xlsx,Factores
AGU_02896B8BB11DD3,Reino Unido,water_supply,2023,2023,0.1767,kgCO2e/m3,ANNUAL,2023,UK Government / DESNZ,,https://www.gov.uk/government/publications/greenhouse-gas-reporting-conversion-factors-2023,0,0,REAL_ANUAL,,Agua_Base_Maestra_y_Contrato_FINAL.xlsx,Factores
AGU_DF56149057D84A,Reino Unido,water_treatment,2023,2023,0.2013,kgCO2e/m3,ANNUAL,2023,UK Government / DESNZ,,https://www.gov.uk/government/publications/greenhouse-gas-reporting-conversion-factors-2023,0,0,REAL_ANUAL,,Agua_Base_Maestra_y_Contrato_FINAL.xlsx,Factores
AGU_6E4378510630FC,Reino Unido,water_supply,2024,2024,0.15311,kgCO2e/m3,ANNUAL,2024,UK Government / DESNZ,,https://www.gov.uk/government/publications/greenhouse-gas-reporting-conversion-factors-2024,0,0,REAL_ANUAL,,Agua_Base_Maestra_y_Contrato_FINAL.xlsx,Factores
AGU_C9CC5EDF7EA5C9,Reino Unido,water_treatment,2024,2024,0.18574,kgCO2e/m3,ANNUAL,2024,UK Government / DESNZ,,https://www.gov.uk/government/publications/greenhouse-gas-reporting-conversion-factors-2024,0,0,REAL_ANUAL,,Agua_Base_Maestra_y_Contrato_FINAL.xlsx,Factores
AGU_5E0DE4FCE18643,Reino Unido,water_supply,2025,2025,0.1913,kgCO2e/m3,ANNUAL,2025,UK Government / DESNZ,,https://www.gov.uk/government/publications/greenhouse-gas-reporting-conversion-factors-2025,0,0,REAL_ANUAL,,Agua_Base_Maestra_y_Contrato_FINAL.xlsx,Factores
AGU_73971CFF41E7E3,Reino Unido,water_treatment,2025,2025,0.17088,kgCO2e/m3,ANNUAL,2025,UK Government / DESNZ,,https://www.gov.uk/government/publications/greenhouse-gas-reporting-conversion-factors-2025,0,0,REAL_ANUAL,,Agua_Base_Maestra_y_Contrato_FINAL.xlsx,Factores
AGU_972DA70B421BEB,Reino Unido,water_supply,2026,2026,0.1913,kgCO2e/m3,ANNUAL,2026,UK Government / DESNZ,,https://www.gov.uk/government/publications/greenhouse-gas-reporting-conversion-factors-2026,0,0,REAL_ANUAL,,Agua_Base_Maestra_y_Contrato_FINAL.xlsx,Factores
AGU_267C97C3C266BE,Reino Unido,water_treatment,2026,2026,0.17088,kgCO2e/m3,ANNUAL,2026,UK Government / DESNZ,,https://www.gov.uk/government/publications/greenhouse-gas-reporting-conversion-factors-2026,0,0,REAL_ANUAL,,Agua_Base_Maestra_y_Contrato_FINAL.xlsx,Factores
AGU_AAB6F0C556EADF,Cataluña,urban_water_cycle,2024,2024,0.517,kgCO2e/m3,VERSIONED,2025,OCCC,,https://canviclimatic.gencat.cat/es/actua/guia_de_calcul_demissions_de_co2/index.html,0,0,REAL_VERIFICADO_PROYECTO,,Agua_Base_Maestra_y_Contrato_FINAL.xlsx,Factores
AGU_961E49B9FAE3C6,Cataluña,urban_water_cycle,2025,2025,0.517,kgCO2e/m3,VERSIONED,2026,OCCC,,https://canviclimatic.gencat.cat/es/actua/guia_de_calcul_demissions_de_co2/index.html,0,0,REAL_VERIFICADO_PROYECTO,,Agua_Base_Maestra_y_Contrato_FINAL.xlsx,Factores
