region_scope,region_label,waste_type,waste_type_label,waste_activity,has_subactivity,treatment,route_type,source_family,temporal_type
outside_spain,Fuera de España,Aparatos eléctricos y electrónicos (RAEE),Aparatos eléctricos y electrónicos (RAEE),Aparatos eléctricos y electrónicos (RAEE),false,Combustión / Incineración (recuperación de energía),FACTOR,DEFRA,ANNUAL
outside_spain,Fuera de España,Aparatos eléctricos y electrónicos (RAEE),Aparatos eléctricos y electrónicos (RAEE),Aparatos eléctricos y electrónicos (RAEE),false,Desconocido,DERIVED_MAX_VALID_TREATMENTS,,
outside_spain,Fuera de España,Aparatos eléctricos y electrónicos (RAEE),Aparatos eléctricos y electrónicos (RAEE),Aparatos eléctricos y electrónicos (RAEE),false,Reciclaje (Bucle abierto),FACTOR,DEFRA,ANNUAL
outside_spain,Fuera de España,Aparatos eléctricos y electrónicos (RAEE),Aparatos eléctricos y electrónicos (RAEE),Aparatos eléctricos y electrónicos (RAEE),false,Reutilización / Donación,NON_WASTE_ROUTE_ZERO,,RULE
outside_spain,Fuera de España,Aparatos eléctricos y electrónicos (RAEE),Aparatos eléctricos y electrónicos (RAEE),Aparatos eléctricos y electrónicos (RAEE),false,Vertedero,FACTOR,DEFRA,ANNUAL
outside_spain,Fuera de España,Construcción / Set promedio,Construcción / Set promedio,Construcción / Set promedio,false,Combustión / Incineración (recuperación de energía),FACTOR,DEFRA,ANNUAL
outside_spain,Fuera de España,Construcción / Set promedio,Construcción / Set promedio,Construcción / Set promedio,false,Desconocido,DERIVED_MAX_VALID_TREATMENTS,,
outside_spain,Fuera de España,Construcción / Set promedio,Construcción / Set promedio,Construcción / Set promedio,false,Reciclaje (Bucle abierto),FACTOR,DEFRA,ANNUAL
outside_spain,Fuera de España,Construcción / Set promedio,Construcción / Set promedio,Construcción / Set promedio,false,Reutilización / Donación,NON_WASTE_ROUTE_ZERO,,RULE
outside_spain,Fuera de España,Madera,Madera,Madera,false,Combustión / Incineración (recuperación de energía),FACTOR,DEFRA,ANNUAL
outside_spain,Fuera de España,Madera,Madera,Madera,false,Compostaje,FACTOR,DEFRA,ANNUAL
outside_spain,Fuera de España,Madera,Madera,Madera,false,Desconocido,DERIVED_MAX_VALID_TREATMENTS,,
outside_spain,Fuera de España,Madera,Madera,Madera,false,Reciclaje (Circuito cerrado),FACTOR,DEFRA,ANNUAL
outside_spain,Fuera de España,Madera,Madera,Madera,false,Reutilización / Donación,NON_WASTE_ROUTE_ZERO,,RULE
outside_spain,Fuera de España,Madera,Madera,Madera,false,Vertedero,FACTOR,DEFRA,ANNUAL
outside_spain,Fuera de España,Metal (envases),Metal (envases),Metal (envases),false,Combustión / Incineración (recuperación de energía),FACTOR,DEFRA,ANNUAL
outside_spain,Fuera de España,Metal (envases),Metal (envases),Metal (envases),false,Desconocido,DERIVED_MAX_VALID_TREATMENTS,,
outside_spain,Fuera de España,Metal (envases),Metal (envases),Metal (envases),false,Reciclaje (Circuito cerrado),FACTOR,DEFRA,ANNUAL
outside_spain,Fuera de España,Metal (envases),Metal (envases),Metal (envases),false,Reutilización / Donación,NON_WASTE_ROUTE_ZERO,,RULE
outside_spain,Fuera de España,Metal (envases),Metal (envases),Metal (envases),false,Vertedero,FACTOR,DEFRA,ANNUAL
outside_spain,Fuera de España,Metal (estructuras),Metal (estructuras),Metal (estructuras),false,Desconocido,DERIVED_MAX_VALID_TREATMENTS,,
outside_spain,Fuera de España,Metal (estructuras),Metal (estructuras),Metal (estructuras),false,Reciclado (Circuito cerrado),FACTOR,DEFRA,ANNUAL
outside_spain,Fuera de España,Metal (estructuras),Metal (estructuras),Metal (estructuras),false,Reutilización / Donación,NON_WASTE_ROUTE_ZERO,,RULE
outside_spain,Fuera de España,Metal (estructuras),Metal (estructuras),Metal (estructuras),false,Vertedero,FACTOR,DEFRA,ANNUAL
outside_spain,Fuera de España,Orgánico (alimentación y bebidas),Orgánico (alimentación y bebidas),Orgánico (alimentación),false,Combustión / Incineración (recuperación de energía),FACTOR,DEFRA,ANNUAL
outside_spain,Fuera de España,Orgánico (alimentación y bebidas),Orgánico (alimentación y bebidas),Orgánico (alimentación),false,Compostaje,FACTOR,DEFRA,ANNUAL
outside_spain,Fuera de España,Orgánico (alimentación y bebidas),Orgánico (alimentación y bebidas),Orgánico (alimentación),false,Desconocido,DERIVED_MAX_VALID_TREATMENTS,,
outside_spain,Fuera de España,Orgánico (alimentación y bebidas),Orgánico (alimentación y bebidas),Orgánico (alimentación),false,Digestión anaeróbica (recuperación de energía),FACTOR,DEFRA,ANNUAL
outside_spain,Fuera de España,Orgánico (alimentación y bebidas),Orgánico (alimentación y bebidas),Orgánico (alimentación),false,Donación,NON_WASTE_ROUTE_ZERO,,RULE
outside_spain,Fuera de España,Orgánico (alimentación y bebidas),Orgánico (alimentación y bebidas),Orgánico (alimentación),false,Vertedero,FACTOR,DEFRA,ANNUAL
outside_spain,Fuera de España,Orgánico (residuos de jardín),Orgánico (residuos de jardín),Orgánico (residuos de jardín),false,Combustión / Incineración (recuperación de energía),FACTOR,DEFRA,ANNUAL
outside_spain,Fuera de España,Orgánico (residuos de jardín),Orgánico (residuos de jardín),Orgánico (residuos de jardín),false,Compostaje,FACTOR,DEFRA,ANNUAL
outside_spain,Fuera de España,Orgánico (residuos de jardín),Orgánico (residuos de jardín),Orgánico (residuos de jardín),false,Desconocido,DERIVED_MAX_VALID_TREATMENTS,,
outside_spain,Fuera de España,Orgánico (residuos de jardín),Orgánico (residuos de jardín),Orgánico (residuos de jardín),false,Digestión anaeróbica (recuperación de energía),FACTOR,DEFRA,ANNUAL
outside_spain,Fuera de España,Orgánico (residuos de jardín),Orgánico (residuos de jardín),Orgánico (residuos de jardín),false,Vertedero,FACTOR,DEFRA,ANNUAL
outside_spain,Fuera de España,Papel y cartón,Papel y cartón,Papel y cartón,false,Combustión / Incineración (recuperación de energía),FACTOR,DEFRA,ANNUAL
outside_spain,Fuera de España,Papel y cartón,Papel y cartón,Papel y cartón,false,Compostaje,FACTOR,DEFRA,ANNUAL
outside_spain,Fuera de España,Papel y cartón,Papel y cartón,Papel y cartón,false,Desconocido,DERIVED_MAX_VALID_TREATMENTS,,
outside_spain,Fuera de España,Papel y cartón,Papel y cartón,Papel y cartón,false,Reciclaje (Circuito cerrado),FACTOR,DEFRA,ANNUAL
outside_spain,Fuera de España,Papel y cartón,Papel y cartón,Papel y cartón,false,Vertedero,FACTOR,DEFRA,ANNUAL
outside_spain,Fuera de España,Pilas y baterías,Pilas y baterías,Pilas y baterías,false,Desconocido,DERIVED_MAX_VALID_TREATMENTS,,
outside_spain,Fuera de España,Pilas y baterías,Pilas y baterías,Pilas y baterías,false,Reciclaje (Bucle abierto),FACTOR,DEFRA,ANNUAL
outside_spain,Fuera de España,Pilas y baterías,Pilas y baterías,Pilas y baterías,false,Reutilización / Donación,NON_WASTE_ROUTE_ZERO,,RULE
outside_spain,Fuera de España,Pilas y baterías,Pilas y baterías,Pilas y baterías,false,Vertedero,FACTOR,DEFRA,ANNUAL
outside_spain,Fuera de España,Plástico (envases),Plástico (envases),Plástico (envases),false,Combustión / Incineración (recuperación de energía),FACTOR,DEFRA,ANNUAL
outside_spain,Fuera de España,Plástico (envases),Plástico (envases),Plástico (envases),false,Desconocido,DERIVED_MAX_VALID_TREATMENTS,,
outside_spain,Fuera de España,Plástico (envases),Plástico (envases),Plástico (envases),false,Reciclaje (Bucle abierto),FACTOR,DEFRA,ANNUAL
outside_spain,Fuera de España,Plástico (envases),Plástico (envases),Plástico (envases),false,Reutilización / Donación,NON_WASTE_ROUTE_ZERO,,RULE
outside_spain,Fuera de España,Plástico (envases),Plástico (envases),Plástico (envases),false,Vertedero,FACTOR,DEFRA,ANNUAL
outside_spain,Fuera de España,Residuos domésticos residuales,Residuos domésticos residuales,Residuos domésticos residuales,false,Combustión / Incineración (recuperación de energía),FACTOR,DEFRA,ANNUAL
outside_spain,Fuera de España,Residuos domésticos residuales,Residuos domésticos residuales,Residuos domésticos residuales,false,Desconocido,DERIVED_MAX_VALID_TREATMENTS,,
outside_spain,Fuera de España,Residuos domésticos residuales,Residuos domésticos residuales,Residuos domésticos residuales,false,Vertedero,FACTOR,DEFRA,ANNUAL
outside_spain,Fuera de España,Resto (mezcla),Resto (mezcla),Resto (mezcla),false,Combustión / Incineración (recuperación de energía),FACTOR,DEFRA,ANNUAL
outside_spain,Fuera de España,Resto (mezcla),Resto (mezcla),Resto (mezcla),false,Desconocido,DERIVED_MAX_VALID_TREATMENTS,,
outside_spain,Fuera de España,Resto (mezcla),Resto (mezcla),Resto (mezcla),false,Vertedero,FACTOR,DEFRA,ANNUAL
outside_spain,Fuera de España,Textil,Textil,Textil,false,Combustión / Incineración (recuperación de energía),FACTOR,DEFRA,ANNUAL
outside_spain,Fuera de España,Textil,Textil,Textil,false,Desconocido,DERIVED_MAX_VALID_TREATMENTS,,
outside_spain,Fuera de España,Textil,Textil,Textil,false,Reciclaje (Circuito cerrado),FACTOR,DEFRA,ANNUAL
outside_spain,Fuera de España,Textil,Textil,Textil,false,Reutilización / Donación,NON_WASTE_ROUTE_ZERO,,RULE
outside_spain,Fuera de España,Textil,Textil,Textil,false,Vertedero,FACTOR,DEFRA,ANNUAL
outside_spain,Fuera de España,Vidrio,Vidrio,Vidrio,false,Combustión / Incineración (recuperación de energía),FACTOR,DEFRA,ANNUAL
outside_spain,Fuera de España,Vidrio,Vidrio,Vidrio,false,Desconocido,DERIVED_MAX_VALID_TREATMENTS,,
outside_spain,Fuera de España,Vidrio,Vidrio,Vidrio,false,Reciclaje (Circuito cerrado),FACTOR,DEFRA,ANNUAL
outside_spain,Fuera de España,Vidrio,Vidrio,Vidrio,false,Reutilización / Donación,NON_WASTE_ROUTE_ZERO,,RULE
outside_spain,Fuera de España,Vidrio,Vidrio,Vidrio,false,Vertedero,FACTOR,DEFRA,ANNUAL
spain,España,Aceites usados,Aceites usados,Aceites y combustibles usados,true,Desconocido,DERIVED_MAX_VALID_TREATMENTS,,
spain,España,Aceites usados,Aceites usados,Aceites y combustibles usados,true,Gestión a través de un Centro de Recogida y Transferencia,FACTOR,OCCC,VERSIONED
spain,España,Aceites usados,Aceites usados,Aceites y combustibles usados,true,Incineración de residuos no halogenados,FACTOR,OCCC,VERSIONED
spain,España,Aceites usados,Aceites usados,Aceites y combustibles usados,true,"Recuperación, regeneración y reutilización de envases",FACTOR,OCCC,VERSIONED
spain,España,Aceites usados,Aceites usados,Aceites y combustibles usados,true,Regeneración de disolventes,FACTOR,OCCC,VERSIONED
spain,España,Aceites usados,Aceites usados,Aceites y combustibles usados,true,Tratamiento físico-químico y biológico,FACTOR,OCCC,VERSIONED
spain,España,Aceites usados,Aceites usados,Aceites y combustibles usados,true,Tratamiento por evaporación,FACTOR,OCCC,VERSIONED
spain,España,Aceites usados,Aceites usados,Aceites y sustancias oleosas,true,Desconocido,DERIVED_MAX_VALID_TREATMENTS,,
spain,España,Aceites usados,Aceites usados,Aceites y sustancias oleosas,true,Gestión a través de un Centro de Recogida y Transferencia,FACTOR,OCCC,VERSIONED
spain,España,Aceites usados,Aceites usados,Aceites y sustancias oleosas,true,Incineración de residuos no halogenados,FACTOR,OCCC,VERSIONED
spain,España,Aceites usados,Aceites usados,Aceites y sustancias oleosas,true,"Recuperación, regeneración y reutilización de envases",FACTOR,OCCC,VERSIONED
spain,España,Aceites usados,Aceites usados,Aceites y sustancias oleosas,true,Regeneración de disolventes,FACTOR,OCCC,VERSIONED
spain,España,Aceites usados,Aceites usados,Aceites y sustancias oleosas,true,Tratamiento físico-químico y biológico,FACTOR,OCCC,VERSIONED
spain,España,Aceites usados,Aceites usados,Aceites y sustancias oleosas,true,Tratamiento por evaporación,FACTOR,OCCC,VERSIONED
spain,España,Aparatos eléctricos y electrónicos (RAEE),Aparatos eléctricos y electrónicos (RAEE),Aparatos eléctricos y electrónicos (RAEE),true,Combustión / Incineración (recuperación de energía),FACTOR,DEFRA,ANNUAL
spain,España,Aparatos eléctricos y electrónicos (RAEE),Aparatos eléctricos y electrónicos (RAEE),Aparatos eléctricos y electrónicos (RAEE),true,Desconocido,DERIVED_MAX_VALID_TREATMENTS,,
spain,España,Aparatos eléctricos y electrónicos (RAEE),Aparatos eléctricos y electrónicos (RAEE),Aparatos eléctricos y electrónicos (RAEE),true,Reciclaje (Bucle abierto),FACTOR,DEFRA,ANNUAL
spain,España,Aparatos eléctricos y electrónicos (RAEE),Aparatos eléctricos y electrónicos (RAEE),Aparatos eléctricos y electrónicos (RAEE),true,Reutilización / Donación,NON_WASTE_ROUTE_ZERO,,RULE
spain,España,Aparatos eléctricos y electrónicos (RAEE),Aparatos eléctricos y electrónicos (RAEE),Aparatos eléctricos y electrónicos (RAEE),true,Vertedero,FACTOR,DEFRA,ANNUAL
spain,España,Aparatos eléctricos y electrónicos (RAEE),Aparatos eléctricos y electrónicos (RAEE),Bombillas y fluorescentes,true,Combustión / Incineración (recuperación de energía),FACTOR,DEFRA,ANNUAL
spain,España,Aparatos eléctricos y electrónicos (RAEE),Aparatos eléctricos y electrónicos (RAEE),Bombillas y fluorescentes,true,Desconocido,DERIVED_MAX_VALID_TREATMENTS,,
spain,España,Aparatos eléctricos y electrónicos (RAEE),Aparatos eléctricos y electrónicos (RAEE),Bombillas y fluorescentes,true,Reciclaje (Bucle abierto),FACTOR,DEFRA,ANNUAL
spain,España,Aparatos eléctricos y electrónicos (RAEE),Aparatos eléctricos y electrónicos (RAEE),Bombillas y fluorescentes,true,Reutilización / Donación,NON_WASTE_ROUTE_ZERO,,RULE
spain,España,Aparatos eléctricos y electrónicos (RAEE),Aparatos eléctricos y electrónicos (RAEE),Bombillas y fluorescentes,true,Vertedero,FACTOR,DEFRA,ANNUAL
spain,España,Aparatos eléctricos y electrónicos (RAEE),Aparatos eléctricos y electrónicos (RAEE),Discos duros,true,Combustión / Incineración (recuperación de energía),FACTOR,DEFRA,ANNUAL
spain,España,Aparatos eléctricos y electrónicos (RAEE),Aparatos eléctricos y electrónicos (RAEE),Discos duros,true,Desconocido,DERIVED_MAX_VALID_TREATMENTS,,
spain,España,Aparatos eléctricos y electrónicos (RAEE),Aparatos eléctricos y electrónicos (RAEE),Discos duros,true,Reciclaje (Bucle abierto),FACTOR,DEFRA,ANNUAL
